track_name,artists,track_genre,engagement_score,like_probability,popularity
Me Porto Bonito,Bad Bunny;Chencho Corleone,latin,0.89075,0.64217615,97
LOKERA,Rauw Alejandro;Lyanno;Brray,latin,0.8705,0.63969046,91
One Kiss (with Dua Lipa),Calvin Harris;Dua Lipa,dance,0.85825,0.65532714,89
Party,Bad Bunny;Rauw Alejandro,latino,0.857,0.7293998,90
I Ain't Worried,OneRepublic,piano,0.8552500000000001,0.60762334,96
Promiscuous,Nelly Furtado;Timbaland,latin,0.8545,0.62532866,82
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap;Quevedo,hip-hop,0.84575,0.64736944,99
Belly Dancer,Imanbek;BYOR,dance,0.8454999999999999,0.64997035,87
Moscow Mule,Bad Bunny,latin,0.8394999999999999,0.8059907,94
The Real Slim Shady,Eminem,hip-hop,0.8374999999999999,0.60622954,87
SNEAKERS,ITZY,k-pop,0.836,0.5803314,78
CASE 143,Stray Kids,k-pop,0.8354999999999999,0.59971714,82
CUFF IT,Beyoncé,dance,0.8322499999999999,0.668195,93
LA INOCENTE,Mora;Feid,latino,0.8315,0.76385456,89
Left and Right (Feat. Jung Kook of BTS),Charlie Puth;Jung Kook;BTS,dance,0.8282499999999999,0.5197891,92
You Proof,Morgan Wallen,country,0.8252499999999999,0.59367156,86
Tarot,Bad Bunny;Jhayco,latin,0.82475,0.6883038,91
Bones,Imagine Dragons,rock,0.8237500000000001,0.75316316,89
La Santa,Bad Bunny;Daddy Yankee,latino,0.823,0.731196,84
Save Your Tears,The Weeknd,pop,0.8215,0.6045962,89
Nos Comemos (feat. Ozuna),Tiago PZK;Ozuna,latino,0.8214999999999999,0.72181815,82
Never Gonna Give You Up,Rick Astley,disco,0.8150000000000001,0.53055936,80
Baby Shark,Pinkfong,children,0.81375,0.67316514,77
La Corriente,Bad Bunny;Tony Dize,latino,0.8122500000000001,0.69556904,90
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons;JID;Arcane;League of Legends,rock,0.80775,0.79691213,86
Feel So Close - Radio Edit,Calvin Harris,electro,0.80775,0.5672633,80
Qué Más Pues?,J Balvin;Maria Becerra,latino,0.8075,0.52877414,76
Levitating (feat. DaBaby),Dua Lipa;DaBaby,dance,0.80675,0.5555989,85
Junio,Maluma,latino,0.8065000000000001,0.7001628,81
Tacones Rojos,Sebastian Yatra,reggaeton,0.806,0.65196127,81
Dynamite,BTS,k-pop,0.80275,0.7133189,85
Pantysito,Alejo;Feid;ROBI,latino,0.80225,0.64875364,82
Los Cachos,Piso 21;Manuel Turizo,latino,0.8009999999999999,0.73771244,85
Can't Stop,Red Hot Chili Peppers,alt-rock,0.7989999999999999,0.5852401,82
Excuses,AP Dhillon;Gurinder Gill;Intense,hip-hop,0.7985,0.6170618,82
BOMBÓN,Daddy Yankee;El Alfa;Lil Jon,latino,0.798,0.67256355,78
Only Love Can Hurt Like This,Paloma Faith,british,0.79775,0.6374018,87
Aguacero,Bad Bunny,latino,0.7965,0.57908547,84
Unholy (feat. Kim Petras),Sam Smith;Kim Petras,dance,0.7965,0.6056827,100
This Is What You Came For,Calvin Harris;Rihanna,dance,0.7945,0.52785224,81
Prohibidox,Feid,latino,0.792,0.61428577,86
Leave Before You Love Me (with Jonas Brothers),Marshmello;Jonas Brothers,dance,0.78975,0.68273884,85
Piece Of Your Heart - Alok Remix,MEDUZA;Alok;Goodboys,edm,0.78925,0.6162821,75
Love You Like A Love Song,Selena Gomez & The Scene,dance,0.789,0.71791536,81
Straight Outta Compton,N.W.A.,hardcore,0.788,0.51481354,72
Classic,MKTO,rock,0.78775,0.69551206,82
Me Rehúso,Danny Ocean,latino,0.7869999999999999,0.6940974,80
